i,x,y_neg
190,2.2781,-2.1946
191,5.3187,0.6461
192,0.8379,-1.3491
193,4.2319,-2.2623
194,4.1862,-0.1986
195,2.3809,1.5806
196,3.6523,0.9009
197,0.4978,1.5139
198,4.8481,-1.3727
199,2.6302,-0.6893
200,1.9546,-0.0052
201,5.0980,-3.8856
202,1.5913,-2.1821
203,0.1831,-0.1149
204,-0.1133,-0.1873
205,4.2120,-3.2071
206,0.4391,0.7811
207,6.5096,-2.4728
208,-1.1639,0.8309
209,6.3929,-1.6195
210,3.4220,-3.7658
211,2.8066,-1.9744
212,1.9102,-2.2213
213,3.7983,-5.0788
214,2.9247,-1.8789
215,5.2066,-3.3066
216,3.2285,0.3331
217,3.3006,-1.0341
218,2.2728,-2.8999
219,2.8861,1.0495
220,3.6156,-0.3378
221,-0.4203,1.1253
222,0.3036,-0.5219
223,4.4865,-4.1311
224,3.3417,-2.5633
225,2.6320,0.0539
226,3.0369,1.0048
227,3.6952,0.0978
228,1.9205,-1.8856
229,1.4434,-2.5455
230,3.3917,-1.8237
231,1.0433,-3.2786
232,3.8165,-1.8052
233,-0.4052,0.0217
234,5.0583,-3.7340
235,3.9452,-4.7592
236,3.5121,-1.3368
237,4.9654,-3.7783
238,6.3309,-5.5534
239,5.0287,-7.3256
240,-0.6817,0.3678
241,0.4408,2.3939
242,1.7504,1.4417
243,3.0522,-2.5170
244,4.0353,-3.3245
245,1.5485,-0.2259
246,3.3735,-3.5217
247,1.4892,-0.4409
248,1.7770,0.0829
249,0.1867,1.7284
250,1.1535,-0.8424
251,0.2966,-0.4835
252,1.0483,-1.9459
253,5.1073,-4.3047
254,1.1012,-1.0004
255,8.2648,-4.4078
256,3.9866,-1.0216
257,3.3697,-3.2266
258,1.2833,1.4691
259,4.4006,-3.0471
260,1.8487,-1.1413
261,3.2440,-3.0672
262,8.1202,-8.5085
263,2.8079,-0.3587
264,5.2985,-2.0739
265,1.5936,-1.3782
266,2.9300,-1.6575
267,6.5416,-3.1511
268,1.7461,-3.3915
269,6.6249,-4.7685
270,4.4155,-1.4579
271,1.8751,-3.0065
272,4.2648,-2.1186
273,4.9451,-5.0019
274,4.2436,-1.8465
275,-0.1404,0.0308
276,1.5457,-3.3501
277,2.5050,0.2441
278,2.8511,-2.8126
279,4.2413,-3.7602
280,3.3554,-1.7124
281,0.3293,1.5254
282,3.7604,-3.7800
283,4.2212,-2.4402
284,4.1196,-1.8285
285,5.1616,-2.0573
286,4.6678,-2.5360
287,3.9184,-2.9016
288,2.8597,-2.9572
289,-0.3219,0.3224
290,3.8592,-3.9238
291,3.4154,-6.4313
292,3.5432,-1.4711
293,0.4465,1.0880
294,0.8379,-4.0471
295,5.1063,-4.5784
296,2.9209,-0.8238
297,4.3630,0.4684
298,3.0566,-1.8028
299,3.0595,-2.9277
300,4.8766,-3.2003
301,1.9679,0.8816
302,3.1922,-2.8843
303,2.0754,-2.4441
304,2.1310,-2.0027
305,2.3817,-2.8590
306,3.4443,-1.8826
307,2.0425,1.2115
308,5.5115,-2.8223
309,1.2108,-1.1050
310,2.6263,-2.0135
311,2.1205,-3.6171
312,5.8940,-2.2117
313,3.3931,-2.1526
314,5.0637,-3.3089
315,0.0289,4.7723
316,3.5341,-1.6723
317,4.7793,-3.9952
318,3.1646,-2.5383
319,5.1310,-1.3559
320,1.9654,-1.0093
321,5.8187,-5.6486
322,7.5978,-3.1798
323,2.2743,-2.3668
324,2.1090,1.5445
325,5.9068,-1.9240
326,6.1591,-4.3665
327,1.9543,0.7490
328,2.1596,-1.1940
329,2.4364,-0.1827
330,0.3111,0.5404
331,1.1627,-1.9672
332,0.9917,-1.5604
333,1.4644,0.6663
334,2.9306,-2.2605
335,3.4684,-2.6865
336,6.1010,-5.0933
337,1.0033,0.0334
338,4.9686,0.1126
339,2.5720,-3.1445
340,2.9011,-1.7043
341,4.3496,-0.4915
342,0.7546,-0.5722
343,3.7648,-1.5803
344,3.3329,-3.5933
345,3.9849,-1.7485
346,3.5783,-2.4277
347,7.9106,-3.2678
348,1.7245,0.7464
349,1.9380,2.7215
350,1.7537,-0.1828
351,1.8890,-0.6447
352,1.7252,-0.7436
353,5.3780,-3.7566
354,5.8410,-2.9969
355,1.8585,-1.5582
356,1.3353,-0.5485
357,3.9428,-0.3893
358,1.8956,-2.6471
359,4.2659,-0.8497
360,3.4058,-0.0678
361,-0.0315,-0.1582
362,6.0950,-6.8398
363,6.5918,-4.8668
364,1.7744,0.8808
365,2.2246,-1.3691
366,3.5717,-3.6420
367,3.6689,-2.9585
368,4.3171,-1.3293
369,7.0204,-3.3921
370,2.6461,-1.9461
371,1.4034,-1.3923
372,0.2414,-0.7325
373,1.5381,-2.3065
374,2.9337,0.6628
375,6.5891,-4.4370
376,1.9648,0.6469
377,3.4476,0.2134
378,2.9672,-0.2828
379,5.3768,-3.8735
380,8.0539,-4.2267
381,1.9383,-1.1993
382,2.0211,-2.5682
383,5.0883,-2.5665
384,4.3638,-4.3868
385,6.6934,-2.2345
386,4.1679,-3.1976
387,2.2814,-1.0671
388,4.1813,-2.0839
389,5.2174,-3.5188
390,4.6410,-1.9045
391,4.0145,-3.1211
392,5.1333,-1.7731
393,5.3386,-5.2221
394,5.7643,-3.2690
395,4.2974,0.3299
396,2.6658,-3.1000
397,3.2934,-2.9927
398,5.4130,-2.4769
399,1.3661,-0.5503
