x,prior,likelihood,product,gaussian_fit
-5.845,0.0006,0.0000,0.0000,0.0000
-5.794,0.0006,0.0000,0.0000,0.0000
-5.744,0.0007,0.0000,0.0000,0.0000
-5.694,0.0007,0.0000,0.0000,0.0000
-5.644,0.0008,0.0000,0.0000,0.0000
-5.594,0.0009,0.0000,0.0000,0.0000
-5.544,0.0009,0.0000,0.0000,0.0000
-5.494,0.0010,0.0000,0.0000,0.0000
-5.444,0.0011,0.0000,0.0000,0.0000
-5.393,0.0012,0.0000,0.0000,0.0000
-5.343,0.0013,0.0000,0.0000,0.0000
-5.293,0.0014,0.0000,0.0000,0.0000
-5.243,0.0015,0.0000,0.0000,0.0000
-5.193,0.0017,0.0000,0.0000,0.0000
-5.143,0.0018,0.0000,0.0000,0.0000
-5.093,0.0019,0.0000,0.0000,0.0000
-5.043,0.0021,0.0000,0.0000,0.0000
-4.992,0.0022,0.0000,0.0000,0.0000
-4.942,0.0024,0.0000,0.0000,0.0000
-4.892,0.0026,0.0000,0.0000,0.0000
-4.842,0.0028,0.0000,0.0000,0.0000
-4.792,0.0030,0.0000,0.0000,0.0000
-4.742,0.0032,0.0000,0.0000,0.0000
-4.692,0.0035,0.0000,0.0000,0.0000
-4.642,0.0037,0.0000,0.0000,0.0000
-4.591,0.0040,0.0000,0.0000,0.0000
-4.541,0.0043,0.0000,0.0000,0.0000
-4.491,0.0046,0.0000,0.0000,0.0000
-4.441,0.0049,0.0000,0.0000,0.0000
-4.391,0.0053,0.0000,0.0000,0.0000
-4.341,0.0056,0.0000,0.0000,0.0000
-4.291,0.0060,0.0000,0.0000,0.0000
-4.241,0.0064,0.0000,0.0000,0.0000
-4.190,0.0069,0.0000,0.0000,0.0000
-4.140,0.0073,0.0000,0.0000,0.0000
-4.090,0.0078,0.0000,0.0000,0.0000
-4.040,0.0083,0.0000,0.0000,0.0000
-3.990,0.0089,0.0000,0.0000,0.0000
-3.940,0.0094,0.0000,0.0000,0.0000
-3.890,0.0100,0.0000,0.0000,0.0000
-3.840,0.0107,0.0000,0.0000,0.0000
-3.789,0.0113,0.0000,0.0000,0.0000
-3.739,0.0120,0.0000,0.0000,0.0000
-3.689,0.0128,0.0000,0.0000,0.0000
-3.639,0.0135,0.0000,0.0000,0.0000
-3.589,0.0143,0.0000,0.0000,0.0000
-3.539,0.0152,0.0000,0.0000,0.0000
-3.489,0.0161,0.0000,0.0000,0.0000
-3.439,0.0170,0.0000,0.0000,0.0000
-3.388,0.0180,0.0000,0.0000,0.0000
-3.338,0.0190,0.0000,0.0000,0.0000
-3.288,0.0200,0.0000,0.0000,0.0000
-3.238,0.0211,0.0000,0.0000,0.0000
-3.188,0.0223,0.0000,0.0000,0.0000
-3.138,0.0235,0.0000,0.0000,0.0000
-3.088,0.0247,0.0000,0.0000,0.0000
-3.038,0.0260,0.0000,0.0000,0.0000
-2.987,0.0273,0.0000,0.0000,0.0000
-2.937,0.0287,0.0000,0.0000,0.0000
-2.887,0.0302,0.0000,0.0000,0.0000
-2.837,0.0317,0.0000,0.0000,0.0000
-2.787,0.0332,0.0000,0.0000,0.0000
-2.737,0.0348,0.0000,0.0000,0.0000
-2.687,0.0365,0.0000,0.0000,0.0000
-2.637,0.0382,0.0000,0.0000,0.0000
-2.586,0.0400,0.0000,0.0000,0.0000
-2.536,0.0418,0.0000,0.0000,0.0000
-2.486,0.0437,0.0000,0.0000,0.0000
-2.436,0.0456,0.0000,0.0000,0.0000
-2.386,0.0476,0.0000,0.0000,0.0000
-2.336,0.0496,0.0000,0.0000,0.0000
-2.286,0.0517,0.0000,0.0000,0.0000
-2.236,0.0539,0.0000,0.0000,0.0000
-2.185,0.0561,0.0000,0.0000,0.0000
-2.135,0.0584,0.0000,0.0000,0.0000
-2.085,0.0607,0.0000,0.0000,0.0000
-2.035,0.0631,0.0000,0.0000,0.0000
-1.985,0.0655,0.0000,0.0000,0.0000
-1.935,0.0680,0.0000,0.0000,0.0000
-1.885,0.0705,0.0000,0.0000,0.0000
-1.835,0.0731,0.0000,0.0000,0.0000
-1.784,0.0757,0.0000,0.0000,0.0000
-1.734,0.0783,0.0000,0.0000,0.0000
-1.684,0.0810,0.0000,0.0000,0.0000
-1.634,0.0838,0.0000,0.0000,0.0000
-1.584,0.0866,0.0000,0.0000,0.0000
-1.534,0.0894,0.0000,0.0000,0.0000
-1.484,0.0923,0.0000,0.0000,0.0000
-1.434,0.0951,0.0000,0.0000,0.0000
-1.383,0.0981,0.0000,0.0000,0.0000
-1.333,0.1010,0.0000,0.0000,0.0000
-1.283,0.1040,0.0000,0.0000,0.0000
-1.233,0.1069,0.0000,0.0000,0.0000
-1.183,0.1099,0.0000,0.0000,0.0000
-1.133,0.1130,0.0000,0.0000,0.0000
-1.083,0.1160,0.0000,0.0000,0.0000
-1.033,0.1190,0.0000,0.0000,0.0000
-0.982,0.1220,0.0000,0.0000,0.0000
-0.932,0.1251,0.0000,0.0000,0.0000
-0.882,0.1281,0.0000,0.0000,0.0000
-0.832,0.1311,0.0000,0.0000,0.0000
-0.782,0.1341,0.0000,0.0000,0.0000
-0.732,0.1371,0.0000,0.0000,0.0000
-0.682,0.1401,0.0000,0.0000,0.0000
-0.632,0.1430,0.0000,0.0000,0.0000
-0.581,0.1459,0.0000,0.0000,0.0000
-0.531,0.1488,0.0000,0.0000,0.0000
-0.481,0.1516,0.0000,0.0000,0.0000
-0.431,0.1544,0.0000,0.0000,0.0000
-0.381,0.1572,0.0000,0.0001,0.0001
-0.331,0.1599,0.0000,0.0001,0.0001
-0.281,0.1625,0.0000,0.0001,0.0001
-0.231,0.1651,0.0001,0.0001,0.0001
-0.180,0.1676,0.0001,0.0001,0.0001
-0.130,0.1700,0.0001,0.0002,0.0002
-0.080,0.1724,0.0001,0.0002,0.0002
-0.030,0.1747,0.0001,0.0003,0.0003
0.020,0.1769,0.0001,0.0004,0.0004
0.070,0.1790,0.0002,0.0004,0.0004
0.120,0.1811,0.0002,0.0005,0.0005
0.170,0.1830,0.0003,0.0007,0.0007
0.221,0.1849,0.0003,0.0008,0.0008
0.271,0.1866,0.0004,0.0010,0.0010
0.321,0.1883,0.0005,0.0012,0.0012
0.371,0.1898,0.0006,0.0014,0.0014
0.421,0.1913,0.0007,0.0017,0.0017
0.471,0.1926,0.0008,0.0021,0.0021
0.521,0.1938,0.0009,0.0025,0.0025
0.571,0.1949,0.0011,0.0030,0.0030
0.622,0.1959,0.0013,0.0036,0.0036
0.672,0.1968,0.0016,0.0043,0.0043
0.722,0.1976,0.0019,0.0050,0.0050
0.772,0.1982,0.0022,0.0060,0.0060
0.822,0.1987,0.0026,0.0070,0.0070
0.872,0.1991,0.0030,0.0082,0.0082
0.922,0.1993,0.0035,0.0096,0.0096
0.972,0.1995,0.0041,0.0112,0.0112
1.023,0.1995,0.0047,0.0130,0.0130
1.073,0.1993,0.0055,0.0151,0.0151
1.123,0.1991,0.0064,0.0175,0.0175
1.173,0.1987,0.0073,0.0201,0.0201
1.223,0.1982,0.0084,0.0231,0.0231
1.273,0.1976,0.0097,0.0264,0.0264
1.323,0.1969,0.0111,0.0301,0.0301
1.373,0.1960,0.0127,0.0342,0.0342
1.424,0.1950,0.0144,0.0388,0.0388
1.474,0.1940,0.0164,0.0439,0.0439
1.524,0.1927,0.0186,0.0494,0.0494
1.574,0.1914,0.0210,0.0555,0.0555
1.624,0.1900,0.0237,0.0621,0.0621
1.674,0.1885,0.0267,0.0693,0.0693
1.724,0.1868,0.0299,0.0771,0.0771
1.774,0.1851,0.0335,0.0855,0.0855
1.825,0.1832,0.0374,0.0946,0.0946
1.875,0.1813,0.0417,0.1042,0.1042
1.925,0.1792,0.0463,0.1145,0.1145
1.975,0.1771,0.0513,0.1254,0.1254
2.025,0.1749,0.0567,0.1368,0.1368
2.075,0.1726,0.0626,0.1489,0.1489
2.125,0.1703,0.0688,0.1616,0.1616
2.175,0.1678,0.0755,0.1747,0.1747
2.226,0.1653,0.0826,0.1884,0.1884
2.276,0.1628,0.0902,0.2024,0.2024
2.326,0.1601,0.0982,0.2169,0.2169
2.376,0.1574,0.1067,0.2316,0.2316
2.426,0.1547,0.1156,0.2465,0.2465
2.476,0.1519,0.1249,0.2616,0.2616
2.526,0.1491,0.1347,0.2768,0.2768
2.576,0.1462,0.1448,0.2919,0.2919
2.627,0.1433,0.1553,0.3069,0.3069
2.677,0.1404,0.1662,0.3216,0.3216
2.727,0.1374,0.1774,0.3360,0.3360
2.777,0.1344,0.1888,0.3499,0.3499
2.827,0.1314,0.2005,0.3633,0.3633
2.877,0.1284,0.2124,0.3760,0.3760
2.927,0.1254,0.2244,0.3879,0.3879
2.977,0.1223,0.2365,0.3989,0.3989
3.028,0.1193,0.2486,0.4090,0.4090
3.078,0.1163,0.2607,0.4180,0.4180
3.128,0.1133,0.2727,0.4258,0.4258
3.178,0.1102,0.2846,0.4325,0.4325
3.228,0.1072,0.2962,0.4379,0.4379
3.278,0.1043,0.3075,0.4419,0.4419
3.328,0.1013,0.3184,0.4446,0.4446
3.378,0.0984,0.3289,0.4459,0.4459
3.429,0.0954,0.3388,0.4458,0.4458
3.479,0.0925,0.3483,0.4443,0.4443
3.529,0.0897,0.3570,0.4414,0.4414
3.579,0.0869,0.3651,0.4372,0.4372
3.629,0.0841,0.3724,0.4316,0.4316
3.679,0.0813,0.3789,0.4248,0.4248
3.729,0.0786,0.3846,0.4168,0.4168
3.779,0.0759,0.3894,0.4076,0.4076
3.830,0.0733,0.3932,0.3974,0.3974
3.880,0.0707,0.3961,0.3863,0.3863
3.930,0.0682,0.3980,0.3743,0.3743
3.980,0.0657,0.3989,0.3615,0.3615
4.030,0.0633,0.3988,0.3480,0.3480
4.080,0.0609,0.3977,0.3340,0.3340
4.130,0.0586,0.3956,0.3196,0.3196
4.180,0.0563,0.3925,0.3048,0.3048
4.231,0.0541,0.3885,0.2898,0.2898
4.281,0.0520,0.3835,0.2747,0.2747
4.331,0.0498,0.3777,0.2595,0.2595
4.381,0.0478,0.3710,0.2444,0.2444
4.431,0.0458,0.3635,0.2295,0.2295
4.481,0.0439,0.3553,0.2148,0.2148
4.531,0.0420,0.3464,0.2004,0.2004
4.581,0.0401,0.3369,0.1864,0.1864
4.632,0.0384,0.3268,0.1728,0.1728
4.682,0.0366,0.3162,0.1598,0.1598
4.732,0.0350,0.3052,0.1472,0.1472
4.782,0.0334,0.2939,0.1352,0.1352
4.832,0.0318,0.2822,0.1238,0.1238
4.882,0.0303,0.2703,0.1130,0.1130
4.932,0.0289,0.2583,0.1028,0.1028
4.982,0.0275,0.2462,0.0932,0.0932
5.033,0.0261,0.2341,0.0843,0.0843
5.083,0.0248,0.2220,0.0760,0.0760
5.133,0.0236,0.2100,0.0683,0.0683
5.183,0.0224,0.1982,0.0612,0.0612
5.233,0.0212,0.1865,0.0546,0.0546
5.283,0.0201,0.1751,0.0486,0.0486
5.333,0.0191,0.1640,0.0431,0.0431
5.383,0.0181,0.1532,0.0382,0.0382
5.434,0.0171,0.1428,0.0336,0.0336
5.484,0.0162,0.1327,0.0296,0.0296
5.534,0.0153,0.1230,0.0259,0.0259
5.584,0.0144,0.1138,0.0226,0.0226
5.634,0.0136,0.1050,0.0197,0.0197
5.684,0.0128,0.0966,0.0171,0.0171
5.734,0.0121,0.0887,0.0148,0.0148
5.784,0.0114,0.0812,0.0128,0.0128
5.835,0.0107,0.0741,0.0110,0.0110
5.885,0.0101,0.0675,0.0094,0.0094
5.935,0.0095,0.0614,0.0080,0.0080
5.985,0.0089,0.0556,0.0068,0.0068
6.035,0.0084,0.0503,0.0058,0.0058
6.085,0.0079,0.0454,0.0049,0.0049
6.135,0.0074,0.0408,0.0042,0.0042
6.185,0.0069,0.0366,0.0035,0.0035
6.236,0.0065,0.0328,0.0029,0.0029
6.286,0.0061,0.0293,0.0024,0.0024
6.336,0.0057,0.0261,0.0020,0.0020
6.386,0.0053,0.0232,0.0017,0.0017
6.436,0.0050,0.0205,0.0014,0.0014
6.486,0.0046,0.0181,0.0012,0.0012
6.536,0.0043,0.0160,0.0010,0.0010
6.586,0.0040,0.0141,0.0008,0.0008
6.637,0.0038,0.0123,0.0006,0.0006
6.687,0.0035,0.0108,0.0005,0.0005
6.737,0.0033,0.0094,0.0004,0.0004
6.787,0.0030,0.0082,0.0003,0.0003
6.837,0.0028,0.0071,0.0003,0.0003
6.887,0.0026,0.0062,0.0002,0.0002
6.937,0.0024,0.0053,0.0002,0.0002
6.987,0.0023,0.0046,0.0001,0.0001
7.038,0.0021,0.0040,0.0001,0.0001
7.088,0.0019,0.0034,0.0001,0.0001
7.138,0.0018,0.0029,0.0001,0.0001
7.188,0.0017,0.0025,0.0001,0.0001
7.238,0.0015,0.0021,0.0000,0.0000
7.288,0.0014,0.0018,0.0000,0.0000
7.338,0.0013,0.0015,0.0000,0.0000
7.388,0.0012,0.0013,0.0000,0.0000
7.439,0.0011,0.0011,0.0000,0.0000
7.489,0.0010,0.0009,0.0000,0.0000
7.539,0.0010,0.0008,0.0000,0.0000
7.589,0.0009,0.0006,0.0000,0.0000
7.639,0.0008,0.0005,0.0000,0.0000
7.689,0.0007,0.0004,0.0000,0.0000
7.739,0.0007,0.0004,0.0000,0.0000
7.789,0.0006,0.0003,0.0000,0.0000
7.840,0.0006,0.0003,0.0000,0.0000
7.890,0.0005,0.0002,0.0000,0.0000
7.940,0.0005,0.0002,0.0000,0.0000
7.990,0.0004,0.0001,0.0000,0.0000
8.040,0.0004,0.0001,0.0000,0.0000
8.090,0.0004,0.0001,0.0000,0.0000
8.140,0.0003,0.0001,0.0000,0.0000
8.190,0.0003,0.0001,0.0000,0.0000
8.241,0.0003,0.0000,0.0000,0.0000
8.291,0.0003,0.0000,0.0000,0.0000
8.341,0.0002,0.0000,0.0000,0.0000
8.391,0.0002,0.0000,0.0000,0.0000
8.441,0.0002,0.0000,0.0000,0.0000
8.491,0.0002,0.0000,0.0000,0.0000
8.541,0.0002,0.0000,0.0000,0.0000
8.591,0.0001,0.0000,0.0000,0.0000
8.642,0.0001,0.0000,0.0000,0.0000
8.692,0.0001,0.0000,0.0000,0.0000
8.742,0.0001,0.0000,0.0000,0.0000
8.792,0.0001,0.0000,0.0000,0.0000
8.842,0.0001,0.0000,0.0000,0.0000
8.892,0.0001,0.0000,0.0000,0.0000
8.942,0.0001,0.0000,0.0000,0.0000
8.992,0.0001,0.0000,0.0000,0.0000
9.043,0.0001,0.0000,0.0000,0.0000
9.093,0.0001,0.0000,0.0000,0.0000
9.143,0.0001,0.0000,0.0000,0.0000
9.193,0.0000,0.0000,0.0000,0.0000
9.243,0.0000,0.0000,0.0000,0.0000
9.293,0.0000,0.0000,0.0000,0.0000
9.343,0.0000,0.0000,0.0000,0.0000
9.393,0.0000,0.0000,0.0000,0.0000
9.444,0.0000,0.0000,0.0000,0.0000
9.494,0.0000,0.0000,0.0000,0.0000
9.544,0.0000,0.0000,0.0000,0.0000
9.594,0.0000,0.0000,0.0000,0.0000
9.644,0.0000,0.0000,0.0000,0.0000
9.694,0.0000,0.0000,0.0000,0.0000
9.744,0.0000,0.0000,0.0000,0.0000
9.794,0.0000,0.0000,0.0000,0.0000
9.845,0.0000,0.0000,0.0000,0.0000
9.895,0.0000,0.0000,0.0000,0.0000
9.945,0.0000,0.0000,0.0000,0.0000
9.995,0.0000,0.0000,0.0000,0.0000
10.045,0.0000,0.0000,0.0000,0.0000
10.095,0.0000,0.0000,0.0000,0.0000
10.145,0.0000,0.0000,0.0000,0.0000
10.195,0.0000,0.0000,0.0000,0.0000
10.246,0.0000,0.0000,0.0000,0.0000
10.296,0.0000,0.0000,0.0000,0.0000
10.346,0.0000,0.0000,0.0000,0.0000
10.396,0.0000,0.0000,0.0000,0.0000
10.446,0.0000,0.0000,0.0000,0.0000
10.496,0.0000,0.0000,0.0000,0.0000
10.546,0.0000,0.0000,0.0000,0.0000
10.596,0.0000,0.0000,0.0000,0.0000
10.647,0.0000,0.0000,0.0000,0.0000
10.697,0.0000,0.0000,0.0000,0.0000
10.747,0.0000,0.0000,0.0000,0.0000
10.797,0.0000,0.0000,0.0000,0.0000
10.847,0.0000,0.0000,0.0000,0.0000
10.897,0.0000,0.0000,0.0000,0.0000
10.947,0.0000,0.0000,0.0000,0.0000
10.997,0.0000,0.0000,0.0000,0.0000
11.048,0.0000,0.0000,0.0000,0.0000
11.098,0.0000,0.0000,0.0000,0.0000
11.148,0.0000,0.0000,0.0000,0.0000
11.198,0.0000,0.0000,0.0000,0.0000
11.248,0.0000,0.0000,0.0000,0.0000
11.298,0.0000,0.0000,0.0000,0.0000
11.348,0.0000,0.0000,0.0000,0.0000
11.398,0.0000,0.0000,0.0000,0.0000
11.449,0.0000,0.0000,0.0000,0.0000
11.499,0.0000,0.0000,0.0000,0.0000
11.549,0.0000,0.0000,0.0000,0.0000
11.599,0.0000,0.0000,0.0000,0.0000
11.649,0.0000,0.0000,0.0000,0.0000
11.699,0.0000,0.0000,0.0000,0.0000
11.749,0.0000,0.0000,0.0000,0.0000
11.799,0.0000,0.0000,0.0000,0.0000
11.850,0.0000,0.0000,0.0000,0.0000
11.900,0.0000,0.0000,0.0000,0.0000
11.950,0.0000,0.0000,0.0000,0.0000
12.000,0.0000,0.0000,0.0000,0.0000
