k,true,obs,a01,a03,a07
58,0.7921,0.9246,0.4013,0.6119,0.8047
59,0.8955,1.2857,0.4898,0.8140,1.1414
60,1.0000,0.8083,0.5216,0.8123,0.9083
61,1.1045,1.0303,0.5725,0.8777,0.9937
62,1.2079,0.7654,0.5918,0.8440,0.8339
63,1.3090,0.8305,0.6157,0.8400,0.8315
64,1.4067,1.7317,0.7273,1.1075,1.4617
65,1.5000,2.0425,0.8588,1.3880,1.8683
66,1.5878,1.5590,0.9288,1.4393,1.6518
67,1.6691,2.0705,1.0430,1.6287,1.9449
68,1.7431,1.8878,1.1275,1.7064,1.9049
69,1.8090,1.5510,1.1698,1.6598,1.6572
70,1.8660,2.0106,1.2539,1.7650,1.9046
71,1.9135,2.5288,1.3814,1.9941,2.3415
72,1.9511,1.9367,1.4369,1.9769,2.0582
73,1.9781,2.6040,1.5536,2.1650,2.4403
74,1.9945,0.9466,1.4929,1.7995,1.3947
75,4.0000,4.3288,1.7765,2.5583,3.4485
76,3.9945,4.0293,2.0018,2.9996,3.8551
77,3.9781,3.8585,2.1875,3.2573,3.8575
78,3.9511,3.9878,2.3675,3.4764,3.9487
79,3.9135,3.1185,2.4426,3.3691,3.3676
80,3.8660,3.7782,2.5762,3.4918,3.6550
81,3.8090,3.9519,2.7137,3.6298,3.8628
82,3.7431,4.3343,2.8758,3.8412,4.1929
83,3.6691,3.4618,2.9344,3.7274,3.6811
84,3.5878,3.2644,2.9674,3.5885,3.3894
85,3.5000,3.2993,3.0006,3.5017,3.3263
86,3.4067,3.7729,3.0778,3.5831,3.6389
87,3.3090,3.4405,3.1141,3.5403,3.5000
88,3.2079,2.9960,3.1023,3.3770,3.1472
89,3.1045,3.3098,3.1230,3.3569,3.2611
90,3.0000,3.0388,3.1146,3.2615,3.1055
91,2.8955,3.2829,3.1314,3.2679,3.2297
92,2.7921,2.5113,3.0694,3.0409,2.7268
93,2.6910,2.5599,3.0185,2.8966,2.6100
94,2.5933,2.4364,2.9603,2.7586,2.4885
95,2.5000,1.9146,2.8557,2.5054,2.0868
96,2.4122,2.5307,2.8232,2.5130,2.3975
97,2.3309,2.4353,2.7844,2.4897,2.4240
98,2.2569,2.2589,2.7319,2.4204,2.3084
99,2.1910,2.0971,2.6684,2.3234,2.1605
100,2.1340,1.5678,2.5583,2.0968,1.7456
101,2.0865,1.9182,2.4943,2.0432,1.8664
102,2.0489,1.9119,2.4361,2.0038,1.8982
103,2.0219,1.7009,2.3626,1.9129,1.7601
104,2.0055,1.9410,2.3204,1.9213,1.8867
105,2.0000,2.1616,2.3045,1.9934,2.0791
106,2.0055,2.7600,2.3501,2.2234,2.5557
107,2.0219,2.0917,2.3242,2.1839,2.2309
108,2.0489,2.1520,2.3070,2.1743,2.1756
109,2.0865,2.0567,2.2820,2.1390,2.0924
110,2.1340,1.3665,2.1904,1.9072,1.5842
111,2.1910,2.1804,2.1894,1.9892,2.0015
112,2.2569,2.2809,2.1986,2.0767,2.1971
113,2.3309,3.3162,2.3103,2.4486,2.9805
114,2.4122,2.3353,2.3128,2.4146,2.5288
115,2.5000,2.6206,2.3436,2.4764,2.5931
116,2.5933,2.5794,2.3672,2.5073,2.5835
117,2.6910,2.2235,2.3528,2.4222,2.3315
118,2.7921,3.2492,2.4425,2.6703,2.9739
119,2.8955,3.1962,2.5178,2.8281,3.1295
120,3.0000,3.3164,2.5977,2.9746,3.2604
121,3.1045,2.7408,2.6120,2.9044,2.8966
122,3.2079,3.7690,2.7277,3.1638,3.5073
123,3.3090,2.7483,2.7298,3.0391,2.9760
124,3.4067,3.6415,2.8209,3.2198,3.4418
125,3.5000,4.3762,2.9765,3.5667,4.0959
126,3.5878,3.1916,2.9980,3.4542,3.4629
127,3.6691,3.4426,3.0424,3.4507,3.4487
128,3.7431,3.7830,3.1165,3.5504,3.6827
129,3.8090,3.6076,3.1656,3.5676,3.6302
130,3.8660,3.2458,3.1736,3.4710,3.3611
131,3.9135,3.9410,3.2504,3.6120,3.7670
132,3.9511,3.5261,3.2779,3.5862,3.5984
133,3.9781,4.1676,3.3669,3.7606,3.9968
134,3.9945,3.6268,3.3929,3.7205,3.7378
135,4.0000,4.6200,3.5156,3.9903,4.3553
136,3.9945,3.6812,3.5322,3.8976,3.8834
137,3.9781,3.8493,3.5639,3.8831,3.8596
138,3.9511,4.2765,3.6351,4.0011,4.1514
139,3.9135,3.4212,3.6137,3.8271,3.6403
140,3.8660,3.9570,3.6481,3.8661,3.8620
141,3.8090,4.3319,3.7164,4.0058,4.1909
142,3.7431,3.1002,3.6548,3.7341,3.4274
143,3.6691,3.7430,3.6636,3.7368,3.6483
144,3.5878,3.6917,3.6664,3.7233,3.6787
145,3.5000,3.8127,3.6811,3.7501,3.7725
146,3.4067,2.9120,3.6042,3.4987,3.1701
147,3.3090,2.7808,3.5218,3.2833,2.8976
148,3.2079,3.4167,3.5113,3.3233,3.2610
149,3.1045,3.2233,3.4825,3.2933,3.2346
