t,wave1,wave2
222,0.1951,-0.2828
223,0.0980,-0.1531
224,0.0000,-0.0000
225,-0.0980,0.1531
226,-0.1951,0.2828
227,-0.2903,0.3696
228,-0.3827,0.4000
229,-0.4714,0.3696
230,-0.5556,0.2828
231,-0.6344,0.1531
232,-0.7071,-0.0000
233,-0.7730,-0.1531
234,-0.8315,-0.2828
235,-0.8819,-0.3696
236,-0.9239,-0.4000
237,-0.9569,-0.3696
238,-0.9808,-0.2828
239,-0.9952,-0.1531
240,-1.0000,-0.0000
241,-0.9952,0.1531
242,-0.9808,0.2828
243,-0.9569,0.3696
244,-0.9239,0.4000
245,-0.8819,0.3696
246,-0.8315,0.2828
247,-0.7730,0.1531
248,-0.7071,0.0000
249,-0.6344,-0.1531
250,-0.5556,-0.2828
251,-0.4714,-0.3696
252,-0.3827,-0.4000
253,-0.2903,-0.3696
254,-0.1951,-0.2828
255,-0.0980,-0.1531
