k,true_x,true_y,est_x,est_y,P_xx,P_yy,P_xy
43,8.4530,4.6177,8.3326,4.0569,5.9449,5.5181,1.7233
44,8.6153,4.6968,8.0239,4.9315,5.8059,5.7166,1.5671
45,8.7787,4.7949,8.4908,5.6711,5.5949,5.8667,1.3860
46,8.9436,4.9126,8.7594,4.5164,5.3308,5.9623,1.1869
47,9.1101,5.0502,9.5330,4.8236,5.0372,5.9995,0.9774
48,9.2785,5.2077,9.4159,5.2475,4.7402,5.9770,0.7653
49,9.4489,5.3851,8.7437,5.1837,4.4664,5.8956,0.5587
50,9.6216,5.5822,9.7512,4.9619,4.2403,5.7586,0.3653
51,9.7967,5.7984,9.6427,5.8258,4.0821,5.5714,0.1921
52,9.9744,6.0331,9.7036,5.6082,4.0058,5.3415,0.0453
53,10.1548,6.2855,10.3994,6.4749,4.0184,5.0780,-0.0698
54,10.3380,6.5545,10.7504,6.1867,4.1186,4.7915,-0.1496
55,10.5242,6.8389,10.8967,7.4589,4.2976,4.4934,-0.1915
56,10.7134,7.1375,10.3778,6.8242,4.5393,4.1955,-0.1949
57,10.9058,7.4486,10.7821,7.3198,4.8222,3.9098,-0.1604
58,11.1013,7.7708,11.2338,8.0962,5.1209,3.6476,-0.0906
59,11.3000,8.1022,11.6902,7.6099,5.4089,3.4194,0.0109
60,11.5019,8.4412,11.3102,8.5322,5.6603,3.2342,0.1389
61,11.7070,8.7857,11.6327,9.3085,5.8528,3.0995,0.2872
62,11.9152,9.1338,11.4727,8.4908,5.9690,3.0207,0.4488
63,12.1266,9.4836,11.6481,9.5575,5.9987,3.0008,0.6160
64,12.3410,9.8331,12.6660,9.9371,5.9392,3.0408,0.7809
65,12.5583,10.1802,13.1008,10.4930,5.7958,3.1388,0.9357
66,12.7784,10.5231,12.7496,10.0283,5.5813,3.2912,1.0729
67,13.0012,10.8597,13.4026,10.3315,5.3149,3.4917,1.1858
68,13.2266,11.1882,13.3713,11.3970,5.0204,3.7324,1.2684
69,13.4544,11.5069,13.1963,11.6257,4.7240,4.0038,1.3161
70,13.6844,11.8140,13.8289,11.9142,4.4523,4.2949,1.3256
71,13.9164,12.1079,14.5316,12.2465,4.2295,4.5942,1.2951
72,14.1502,12.3873,14.1358,12.1153,4.0755,4.8897,1.2243
73,14.3856,12.6509,15.0114,12.7438,4.0042,5.1697,1.1146
74,14.6224,12.8974,13.5745,13.0146,4.0217,5.4230,0.9688
75,14.8603,13.1260,15.1891,12.8403,4.1267,5.6395,0.7914
76,15.0991,13.3358,15.1339,14.0821,4.3097,5.8106,0.5878
77,15.3386,13.5263,15.2190,13.7159,4.5543,5.9294,0.3647
78,15.5784,13.6971,15.6151,13.2206,4.8388,5.9913,0.1293
79,15.8184,13.8479,15.0234,14.1105,5.1376,5.9937,-0.1103
