n,sample,running_mean
149,6.0439,4.8303
150,5.5940,4.8353
151,5.5010,4.8398
152,5.6929,4.8454
153,3.6400,4.8375
154,5.4645,4.8416
155,5.5861,4.8464
156,3.5713,4.8382
157,8.7315,4.8630
158,5.9477,4.8699
159,2.6174,4.8557
160,6.3131,4.8648
161,3.0506,4.8535
162,6.5742,4.8641
163,7.3172,4.8792
164,3.3586,4.8699
165,6.9268,4.8824
166,5.8256,4.8881
167,6.6441,4.8986
168,8.7936,4.9218
169,4.5092,4.9193
170,3.4925,4.9109
171,3.2210,4.9011
172,3.3684,4.8921
173,4.8458,4.8919
174,5.6823,4.8964
175,5.5534,4.9002
176,6.6544,4.9101
177,5.0260,4.9108
178,7.9071,4.9276
179,4.4707,4.9251
180,10.4403,4.9557
181,6.2513,4.9629
182,3.2857,4.9537
183,2.8582,4.9422
184,5.9649,4.9478
185,4.5531,4.9456
186,6.4280,4.9536
187,5.9465,4.9589
188,4.8543,4.9584
189,3.3064,4.9496
190,1.9703,4.9339
191,4.1070,4.9296
192,6.7128,4.9389
193,5.4282,4.9414
194,2.5085,4.9289
195,5.3464,4.9310
196,5.7706,4.9353
197,3.2323,4.9267
198,5.3075,4.9286
199,5.1164,4.9295
200,2.7141,4.9185
201,5.7156,4.9224
202,6.1216,4.9284
203,7.1661,4.9394
204,7.1076,4.9500
205,2.2447,4.9368
206,3.1243,4.9280
207,6.0301,4.9333
208,6.0276,4.9386
209,6.0301,4.9438
210,12.7055,4.9808
211,6.1418,4.9863
212,7.2711,4.9971
213,6.9080,5.0060
214,6.3028,5.0121
215,4.3695,5.0091
216,6.5179,5.0161
217,3.4543,5.0089
218,4.5264,5.0067
219,4.0293,5.0022
220,5.1637,5.0030
221,9.6293,5.0239
222,1.2655,5.0070
223,6.3725,5.0131
224,1.7746,4.9986
225,4.0561,4.9944
226,7.1779,5.0041
227,5.1286,5.0046
228,2.8445,4.9952
229,3.5694,4.9889
230,6.3592,4.9949
231,3.5393,4.9886
232,5.4329,4.9905
233,5.0911,4.9909
234,3.6968,4.9854
235,9.2879,5.0037
236,6.2678,5.0091
237,0.9497,4.9920
238,5.3729,4.9936
239,3.6764,4.9880
240,6.7049,4.9952
241,3.4150,4.9886
242,4.7705,4.9877
243,6.0100,4.9919
244,6.7315,4.9991
245,2.5994,4.9893
246,4.3310,4.9866
247,4.0501,4.9828
248,3.6933,4.9776
249,8.5309,4.9919
250,5.8100,4.9952
251,2.4782,4.9851
252,6.8357,4.9925
253,9.2443,5.0093
254,7.0649,5.0174
255,1.9613,5.0054
256,4.0315,5.0016
257,7.5338,5.0114
258,3.5847,5.0059
259,5.8876,5.0093
260,6.5493,5.0152
261,3.1461,5.0081
262,4.8809,5.0076
263,-1.4825,4.9829
264,2.9512,4.9752
265,4.4949,4.9734
266,2.5044,4.9641
267,8.2648,4.9765
268,2.1397,4.9659
269,4.1199,4.9627
270,5.2615,4.9639
271,7.8825,4.9746
272,2.1283,4.9642
273,7.3263,4.9728
274,5.0205,4.9730
275,3.0370,4.9659
276,5.9242,4.9694
277,5.3981,4.9710
278,3.7996,4.9668
279,5.1396,4.9674
280,4.2294,4.9647
281,5.2270,4.9657
282,6.3243,4.9705
283,8.1720,4.9818
284,2.5244,4.9731
285,9.2661,4.9882
286,1.0958,4.9746
287,4.6964,4.9736
288,6.1766,4.9778
289,5.5620,4.9798
290,3.7546,4.9756
291,4.5838,4.9743
292,4.0140,4.9710
293,3.8213,4.9670
294,6.6992,4.9729
295,5.7140,4.9755
296,3.6142,4.9709
297,6.7992,4.9770
298,5.6146,4.9791
299,6.6257,4.9847
300,6.2593,4.9889
301,3.3420,4.9834
302,3.8796,4.9798
303,6.4946,4.9848
304,6.2207,4.9888
305,4.9582,4.9887
306,5.2347,4.9895
307,7.5553,4.9979
308,3.8169,4.9941
309,6.0942,4.9976
310,4.5956,4.9963
311,4.5646,4.9949
312,7.1976,5.0020
313,6.6508,5.0073
314,6.6270,5.0124
315,7.6110,5.0207
316,5.0420,5.0207
317,6.3639,5.0250
318,4.3795,5.0230
319,5.6483,5.0249
320,4.7397,5.0240
321,5.1940,5.0246
322,6.1903,5.0282
323,3.3636,5.0230
324,9.1848,5.0359
325,2.9880,5.0296
326,2.5716,5.0220
327,7.3162,5.0290
328,6.5833,5.0338
329,6.2482,5.0375
330,6.2567,5.0412
331,4.9755,5.0410
332,3.2055,5.0354
333,5.1516,5.0358
334,3.6457,5.0316
335,6.9502,5.0374
336,4.7059,5.0364
337,3.3490,5.0314
338,4.3572,5.0294
339,5.8259,5.0317
340,3.8726,5.0283
341,3.3556,5.0234
342,5.4874,5.0248
343,5.4899,5.0261
344,3.9861,5.0231
345,4.0579,5.0203
346,5.4641,5.0216
347,2.1038,5.0132
348,2.1851,5.0050
349,3.5631,5.0009
350,4.5731,4.9997
351,5.6218,5.0015
352,7.9507,5.0098
353,6.7153,5.0147
354,4.6801,5.0137
355,4.9620,5.0136
356,2.9949,5.0079
357,4.9630,5.0078
358,4.4227,5.0061
359,5.6454,5.0079
360,3.3455,5.0033
361,6.0387,5.0062
362,8.0655,5.0146
363,4.7825,5.0140
364,5.8034,5.0162
365,6.3803,5.0199
366,4.1976,5.0176
367,5.4482,5.0188
368,5.0252,5.0188
369,5.1954,5.0193
370,3.4540,5.0151
371,5.0490,5.0152
372,5.9960,5.0178
373,7.9023,5.0255
374,6.9185,5.0306
375,9.3064,5.0420
376,3.4653,5.0378
377,6.7446,5.0423
378,5.3667,5.0432
379,9.3796,5.0546
380,3.3834,5.0502
381,3.3206,5.0457
382,3.8012,5.0424
383,0.7522,5.0312
384,3.9485,5.0284
385,3.4817,5.0244
386,5.3008,5.0251
387,5.6835,5.0268
388,8.7523,5.0364
389,6.9008,5.0412
390,3.8462,5.0382
391,3.2032,5.0335
392,5.9838,5.0359
393,2.3595,5.0291
394,8.6629,5.0383
395,7.3589,5.0442
396,4.0616,5.0417
397,1.5737,5.0330
398,7.7077,5.0397
399,4.7709,5.0390
400,7.4756,5.0451
401,1.8111,5.0370
402,3.8012,5.0340
403,5.0105,5.0339
404,5.0940,5.0340
405,4.0999,5.0317
406,6.2457,5.0347
407,2.8648,5.0294
408,4.7152,5.0286
409,5.2406,5.0291
410,6.0289,5.0316
411,6.4232,5.0350
412,2.7507,5.0294
413,1.9318,5.0219
414,7.5554,5.0280
415,5.6646,5.0296
416,3.5030,5.0259
417,8.1023,5.0333
418,5.2313,5.0338
419,7.3586,5.0393
420,5.1350,5.0395
421,9.1215,5.0492
422,8.5107,5.0574
423,4.5021,5.0561
424,6.9431,5.0606
425,6.2908,5.0635
426,7.7373,5.0697
427,3.0702,5.0651
428,6.3721,5.0681
429,7.1168,5.0729
430,1.4825,5.0645
431,2.6335,5.0589
432,0.9215,5.0493
433,4.4612,5.0480
434,6.4351,5.0512
435,8.0047,5.0580
436,5.1482,5.0582
437,8.2572,5.0655
438,2.2398,5.0590
439,1.5932,5.0511
440,4.8889,5.0508
441,5.7681,5.0524
442,4.9346,5.0521
443,0.8651,5.0427
444,4.8218,5.0422
445,2.3911,5.0362
446,6.3393,5.0391
447,5.7332,5.0407
448,3.1202,5.0364
449,3.9723,5.0340
450,2.8816,5.0293
451,4.8746,5.0289
452,6.9103,5.0331
453,3.0285,5.0286
454,6.0081,5.0308
455,3.9395,5.0284
456,3.4143,5.0249
457,4.7859,5.0243
458,2.9295,5.0198
459,3.8927,5.0173
460,2.6042,5.0121
461,8.9295,5.0206
462,5.0705,5.0207
463,3.6005,5.0176
464,5.4280,5.0185
465,4.7753,5.0180
466,4.5581,5.0170
467,6.2283,5.0196
468,6.5150,5.0228
469,3.9390,5.0205
470,3.8484,5.0180
471,4.4499,5.0168
472,0.3962,5.0070
473,1.9696,5.0006
474,7.7337,5.0063
475,8.2899,5.0132
476,4.5019,5.0122
477,6.1531,5.0145
478,5.6225,5.0158
479,11.1578,5.0286
480,7.2391,5.0332
481,4.7442,5.0326
482,3.0889,5.0286
483,1.7871,5.0219
484,5.4069,5.0227
485,3.4873,5.0195
486,2.1555,5.0136
487,3.7069,5.0110
488,2.8369,5.0065
489,8.3743,5.0134
490,6.7633,5.0170
491,4.9841,5.0169
492,7.9599,5.0229
493,5.1547,5.0231
494,3.2774,5.0196
495,8.0462,5.0257
496,6.0778,5.0278
497,2.9255,5.0236
498,4.6193,5.0228
499,3.2488,5.0192
500,2.2344,5.0137
