i,x,y_pos
147,2.8914,-0.0515
148,2.5381,4.2453
149,4.3924,5.5841
150,6.6979,4.4200
151,5.2531,4.7962
152,2.4622,2.7108
153,0.7869,1.0206
154,8.1467,5.6919
155,3.1184,1.4873
156,3.0279,2.3840
157,2.9517,4.1205
158,3.3962,3.5323
159,2.7113,1.6131
160,1.8527,2.6397
161,1.9063,-2.7478
162,2.9345,4.0707
163,1.9132,-1.0791
164,1.5743,0.7158
165,3.2129,0.8908
166,2.4900,0.0500
167,6.0080,6.5476
168,-2.3019,-2.5431
169,5.1830,4.6662
170,5.4922,4.3234
171,-1.1468,-0.2019
172,2.3146,1.9669
173,2.2571,-0.1188
174,0.1850,1.6424
175,1.4444,0.4149
176,0.7788,-1.7118
177,6.5045,4.5615
178,4.8714,6.1482
179,5.5431,5.7098
180,4.4433,3.0317
181,0.7419,0.0696
182,1.9510,1.0783
183,3.9787,6.2981
184,0.5557,1.0175
185,4.4260,4.1859
186,2.5193,3.5609
187,2.2504,2.1585
188,4.4219,3.1490
189,3.8885,2.8163
190,2.2781,1.7151
191,5.3187,4.1991
192,0.8379,1.7617
193,4.2319,3.4634
194,4.1862,4.4479
195,2.3809,1.7837
196,3.6523,3.0398
197,0.4978,-2.5991
198,4.8481,5.2529
199,2.6302,2.6239
200,1.9546,3.0607
201,5.0980,-0.2660
202,1.5913,4.4056
203,0.1831,-0.0629
204,-0.1133,1.5717
205,4.2120,1.8098
206,0.4391,1.2705
207,6.5096,3.6275
208,-1.1639,-1.8667
209,6.3929,7.9854
210,3.4220,2.4516
211,2.8066,2.5714
212,1.9102,2.8332
213,3.7983,3.7821
214,2.9247,2.5654
215,5.2066,4.7127
216,3.2285,6.1879
217,3.3006,2.5541
218,2.2728,2.1199
219,2.8861,3.8849
220,3.6156,4.5508
221,-0.4203,1.4443
222,0.3036,1.2010
223,4.4865,1.8747
224,3.3417,5.1235
225,2.6320,0.3861
226,3.0369,2.8834
227,3.6952,1.8247
228,1.9205,1.4402
229,1.4434,1.6479
230,3.3917,3.1954
231,1.0433,1.4675
232,3.8165,5.4738
233,-0.4052,0.3562
234,5.0583,3.6804
235,3.9452,4.6023
236,3.5121,4.5939
237,4.9654,2.1309
238,6.3309,5.9609
239,5.0287,5.0748
240,-0.6817,-0.9917
241,0.4408,2.4162
242,1.7504,1.1752
243,3.0522,2.6301
244,4.0353,2.9686
245,1.5485,1.2622
246,3.3735,1.0544
247,1.4892,-0.9687
248,1.7770,3.8133
249,0.1867,-1.1211
250,1.1535,-0.5643
251,0.2966,-2.9928
252,1.0483,-0.1198
253,5.1073,2.1012
254,1.1012,3.3440
255,8.2648,8.1265
256,3.9866,2.1571
257,3.3697,6.0744
258,1.2833,2.4993
259,4.4006,3.0332
260,1.8487,-2.2701
261,3.2440,6.0316
262,8.1202,4.4118
263,2.8079,-0.2218
264,5.2985,5.7727
265,1.5936,4.9345
266,2.9300,4.4204
267,6.5416,6.0791
268,1.7461,2.2890
269,6.6249,6.5800
270,4.4155,4.6708
271,1.8751,1.9218
272,4.2648,3.5682
273,4.9451,3.8622
274,4.2436,2.2639
275,-0.1404,-0.5334
276,1.5457,-1.3029
277,2.5050,1.8565
278,2.8511,0.7980
279,4.2413,1.7377
280,3.3554,2.9542
281,0.3293,2.3515
282,3.7604,4.3858
283,4.2212,1.0212
284,4.1196,1.8112
285,5.1616,5.5404
286,4.6678,2.2605
287,3.9184,2.7977
288,2.8597,3.1128
289,-0.3219,-1.7101
290,3.8592,3.2455
291,3.4154,0.7313
292,3.5432,1.9325
293,0.4465,0.8369
294,0.8379,-1.7192
295,5.1063,4.7458
296,2.9209,2.3073
297,4.3630,4.3191
298,3.0566,2.7812
299,3.0595,4.4938
300,4.8766,4.0891
301,1.9679,0.9302
302,3.1922,2.7372
303,2.0754,2.4753
304,2.1310,1.7781
305,2.3817,1.9662
306,3.4443,1.7024
307,2.0425,0.6397
308,5.5115,2.3053
309,1.2108,3.5930
310,2.6263,0.2352
311,2.1205,0.6571
312,5.8940,3.6376
313,3.3931,4.0569
314,5.0637,3.6085
315,0.0289,1.8947
316,3.5341,1.8170
317,4.7793,4.2419
318,3.1646,1.2786
319,5.1310,7.3225
320,1.9654,-0.2091
321,5.8187,5.1197
322,7.5978,7.0289
323,2.2743,2.4402
324,2.1090,1.4093
325,5.9068,4.5307
326,6.1591,4.9930
327,1.9543,1.3429
328,2.1596,3.1735
329,2.4364,5.2649
330,0.3111,-0.5874
331,1.1627,-1.1245
332,0.9917,0.6610
333,1.4644,5.0411
334,2.9306,1.1390
335,3.4684,5.2334
336,6.1010,7.3974
337,1.0033,-0.0277
338,4.9686,4.8284
339,2.5720,4.5002
340,2.9011,1.7522
341,4.3496,3.1743
342,0.7546,-0.2689
343,3.7648,1.4897
344,3.3329,1.6924
345,3.9849,1.3520
346,3.5783,2.9138
347,7.9106,5.1735
348,1.7245,1.7303
349,1.9380,-0.7834
350,1.7537,1.8993
351,1.8890,2.7615
352,1.7252,-1.6104
353,5.3780,4.8635
354,5.8410,6.5143
355,1.8585,-0.3277
356,1.3353,3.5771
357,3.9428,3.7828
358,1.8956,0.4589
359,4.2659,3.3290
360,3.4058,3.5622
361,-0.0315,0.0888
362,6.0950,5.6841
363,6.5918,3.8924
364,1.7744,1.6736
365,2.2246,-0.3409
366,3.5717,2.6905
367,3.6689,1.5793
368,4.3171,2.3504
369,7.0204,7.4705
370,2.6461,3.7538
371,1.4034,2.0364
372,0.2414,-1.4454
373,1.5381,0.7559
374,2.9337,4.1666
375,6.5891,5.4839
376,1.9648,5.0508
377,3.4476,3.3480
378,2.9672,2.6618
379,5.3768,3.8378
380,8.0539,6.6434
381,1.9383,1.3219
382,2.0211,2.6791
383,5.0883,5.5057
384,4.3638,2.3120
385,6.6934,3.3579
386,4.1679,0.5800
387,2.2814,2.5871
388,4.1813,1.6900
389,5.2174,0.9446
390,4.6410,4.2956
391,4.0145,6.9511
392,5.1333,4.0976
393,5.3386,5.5286
394,5.7643,4.7342
395,4.2974,3.2896
396,2.6658,3.5112
397,3.2934,2.1993
398,5.4130,4.7315
399,1.3661,1.5754
