t,wave1,wave2,sum
205,0.9569,-0.3696,0.5874
206,0.9808,-0.2828,0.6979
207,0.9952,-0.1531,0.8421
208,1.0000,0.0000,1.0000
209,0.9952,0.1531,1.1483
210,0.9808,0.2828,1.2636
211,0.9569,0.3696,1.3265
212,0.9239,0.4000,1.3239
213,0.8819,0.3696,1.2515
214,0.8315,0.2828,1.1143
215,0.7730,0.1531,0.9261
216,0.7071,0.0000,0.7071
217,0.6344,-0.1531,0.4813
218,0.5556,-0.2828,0.2727
219,0.4714,-0.3696,0.1018
220,0.3827,-0.4000,-0.0173
221,0.2903,-0.3696,-0.0793
222,0.1951,-0.2828,-0.0878
223,0.0980,-0.1531,-0.0551
224,0.0000,-0.0000,-0.0000
225,-0.0980,0.1531,0.0551
226,-0.1951,0.2828,0.0878
227,-0.2903,0.3696,0.0793
228,-0.3827,0.4000,0.0173
229,-0.4714,0.3696,-0.1018
230,-0.5556,0.2828,-0.2727
231,-0.6344,0.1531,-0.4813
232,-0.7071,-0.0000,-0.7071
233,-0.7730,-0.1531,-0.9261
234,-0.8315,-0.2828,-1.1143
235,-0.8819,-0.3696,-1.2515
236,-0.9239,-0.4000,-1.3239
237,-0.9569,-0.3696,-1.3265
238,-0.9808,-0.2828,-1.2636
239,-0.9952,-0.1531,-1.1483
240,-1.0000,-0.0000,-1.0000
241,-0.9952,0.1531,-0.8421
242,-0.9808,0.2828,-0.6979
243,-0.9569,0.3696,-0.5874
244,-0.9239,0.4000,-0.5239
245,-0.8819,0.3696,-0.5124
246,-0.8315,0.2828,-0.5486
247,-0.7730,0.1531,-0.6199
248,-0.7071,0.0000,-0.7071
249,-0.6344,-0.1531,-0.7875
250,-0.5556,-0.2828,-0.8384
251,-0.4714,-0.3696,-0.8409
252,-0.3827,-0.4000,-0.7827
253,-0.2903,-0.3696,-0.6598
254,-0.1951,-0.2828,-0.4779
255,-0.0980,-0.1531,-0.2511
