k,true,obs,filtered
93,0.6763,0.5125,0.3844
94,0.6057,0.4096,0.3969
95,0.9239,0.1921,0.4119
96,1.2364,1.3844,0.4303
97,1.1487,1.2792,0.4413
98,0.8114,0.8139,0.4450
99,0.7116,0.5943,0.4465
100,1.0000,0.2923,0.4492
101,1.2822,1.0719,0.4553
102,1.1640,0.9927,0.4576
103,0.7960,0.3949,0.4567
104,0.6657,0.5851,0.4584
105,0.9239,1.1259,0.4612
106,1.1763,2.1194,0.4578
107,1.0290,1.1163,0.4393
108,0.6327,0.7615,0.4141
109,0.4751,0.4379,0.3871
110,0.7071,-0.2523,0.3627
111,0.9348,0.9215,0.3455
112,0.7641,0.7942,0.3255
113,0.3462,1.5778,0.2998
114,0.1687,0.0725,0.2636
115,0.3827,0.5335,0.2285
116,0.5943,0.5770,0.1918
117,0.4098,-0.1746,0.1526
118,-0.0199,0.5515,0.1162
119,-0.2069,0.1691,0.0770
120,-0.0000,0.3955,0.0359
121,0.2069,-0.2478,-0.0078
122,0.0199,0.7213,-0.0513
123,-0.4098,-1.1107,-0.1005
124,-0.5943,-0.3009,-0.1415
125,-0.3827,0.7125,-0.1815
126,-0.1687,-0.6639,-0.2307
127,-0.3462,-0.6293,-0.2780
128,-0.7641,-0.7143,-0.3222
129,-0.9348,-1.1865,-0.3634
130,-0.7071,-1.4824,-0.3964
131,-0.4751,-0.4408,-0.4206
132,-0.6327,-1.1638,-0.4444
133,-1.0290,-0.7922,-0.4641
134,-1.1763,-1.6360,-0.4803
135,-0.9239,-0.1489,-0.4889
136,-0.6657,-1.0574,-0.5010
137,-0.7960,-0.9571,-0.5111
138,-1.1640,-0.7573,-0.5189
139,-1.2822,-1.8977,-0.5251
140,-1.0000,-0.8863,-0.5203
141,-0.7116,-0.0580,-0.5141
142,-0.8114,-1.6151,-0.5135
143,-1.1487,-1.0564,-0.5055
144,-1.2364,-1.1064,-0.4926
145,-0.9239,-0.5330,-0.4763
146,-0.6057,-1.2242,-0.4604
147,-0.6763,-1.3365,-0.4388
148,-0.9854,-0.7244,-0.4097
149,-1.0457,-0.8972,-0.3781
150,-0.7071,-0.5819,-0.3431
151,-0.3641,-0.1909,-0.3075
152,-0.4114,-0.7515,-0.2739
153,-0.6988,-0.5827,-0.2372
154,-0.7393,-0.5928,-0.1974
155,-0.3827,-0.7399,-0.1535
156,-0.0237,0.9092,-0.1058
157,-0.0571,0.1798,-0.0682
158,-0.3328,-0.9284,-0.0338
159,-0.3638,-0.0355,0.0089
160,-0.0000,-0.4873,0.0543
161,0.3638,0.7573,0.1043
162,0.3328,0.9121,0.1483
163,0.0571,-0.3532,0.1856
164,0.0237,0.5054,0.2279
165,0.3827,0.5891,0.2694
166,0.7393,1.1503,0.3079
167,0.6988,1.6472,0.3378
168,0.4114,0.2888,0.3561
169,0.3641,-0.0127,0.3758
170,0.7071,0.2623,0.4023
171,1.0457,0.6378,0.4328
172,0.9854,0.9468,0.4635
173,0.6763,0.8469,0.4915
174,0.6057,0.7440,0.5184
175,0.9239,1.3375,0.5445
176,1.2364,1.2429,0.5655
177,1.1487,1.8755,0.5801
178,0.8114,0.6790,0.5853
179,0.7116,2.0717,0.5889
180,1.0000,1.3128,0.5812
181,1.2822,0.8537,0.5671
182,1.1640,0.6286,0.5531
183,0.7960,1.0373,0.5404
184,0.6657,0.5540,0.5265
185,0.9239,1.2809,0.5136
186,1.1763,1.4129,0.4955
187,1.0290,0.9926,0.4694
188,0.6327,0.2093,0.4403
189,0.4751,-0.2823,0.4165
190,0.7071,0.4838,0.4024
191,0.9348,1.3630,0.3897
192,0.7641,0.8712,0.3689
193,0.3462,-0.2767,0.3450
194,0.1687,0.2553,0.3289
195,0.3827,0.5753,0.3160
196,0.5943,0.1524,0.3028
197,0.4098,0.4866,0.2923
198,-0.0199,0.0092,0.2822
199,-0.2069,-0.7783,0.2777
