k,true,obs,W3,W8,W20
88,3.2079,2.9960,3.2488,3.3006,3.1713
89,3.1045,3.3098,3.1149,3.2064,3.0848
90,3.0000,3.0388,3.2105,3.1140,3.0338
91,2.8955,3.2829,2.9443,2.9470,2.9232
92,2.7921,2.5113,2.7847,2.7562,2.8216
93,2.6910,2.5599,2.5025,2.6981,2.7004
94,2.5933,2.4364,2.3036,2.5887,2.6124
95,2.5000,1.9146,2.2939,2.4912,2.5462
96,2.4122,2.5307,2.2935,2.3430,2.4893
97,2.3309,2.4353,2.4083,2.2251,2.4387
98,2.2569,2.2589,2.2638,2.1449,2.3712
99,2.1910,2.0971,1.9746,2.0793,2.3290
100,2.1340,1.5678,1.8611,2.0526,2.2664
101,2.0865,1.9182,1.7993,1.9789,2.1828
102,2.0489,1.9119,1.8437,1.9447,2.1276
103,2.0219,1.7009,1.8513,2.0073,2.1161
104,2.0055,1.9410,1.9345,2.0066,2.1539
105,2.0000,2.1616,2.2875,2.0796,2.1489
106,2.0055,2.7600,2.3378,2.0970,2.1842
107,2.0219,2.0917,2.3345,2.0288,2.1866
108,2.0489,2.1520,2.1001,2.0887,2.1760
109,2.0865,2.0567,1.8584,2.1312,2.2255
110,2.1340,1.3665,1.8678,2.2755,2.2805
111,2.1910,2.1804,1.9426,2.2224,2.3679
112,2.2569,2.2809,2.5925,2.2886,2.4091
113,2.3309,3.3162,2.6441,2.3420,2.5019
114,2.4122,2.3353,2.7574,2.3628,2.5543
115,2.5000,2.6206,2.5118,2.5982,2.6393
116,2.5933,2.5794,2.4745,2.7252,2.7500
117,2.6910,2.2235,2.6840,2.8546,2.7716
118,2.7921,3.2492,2.8897,2.7827,2.8392
119,2.8955,3.1962,3.2540,2.9619,2.9207
120,3.0000,3.3164,3.0845,2.9779,2.9983
121,3.1045,2.7408,3.2754,3.1106,3.0922
122,3.2079,3.7690,3.0860,3.3797,3.1803
123,3.3090,2.7483,3.3863,3.3725,3.2425
124,3.4067,3.6415,3.5886,3.4033,3.2851
125,3.5000,4.3762,3.7364,3.4616,3.3497
126,3.5878,3.1916,3.6701,3.5700,3.4496
127,3.6691,3.4426,3.4724,3.5046,3.5047
128,3.7431,3.7830,3.6111,3.6537,3.5860
129,3.8090,3.6076,3.5455,3.6392,3.6374
130,3.8660,3.2458,3.5981,3.6132,3.6486
131,3.9135,3.9410,3.5710,3.6676,3.6806
132,3.9511,3.5261,3.8782,3.8147,3.7602
133,3.9781,4.1676,3.7735,3.8020,3.7268
134,3.9945,3.6268,4.1381,3.8322,3.7765
135,4.0000,4.6200,3.9760,3.9611,3.7790
136,3.9945,3.6812,4.0502,3.8961,3.7508
137,3.9781,3.8493,3.9357,3.9499,3.7369
138,3.9511,4.2765,3.8490,3.9705,3.7038
139,3.9135,3.4212,3.8849,3.9047,3.6854
140,3.8660,3.9570,3.9034,3.7950,3.6662
141,3.8090,4.3319,3.7963,3.7963,3.5039
142,3.7431,3.1002,3.7250,3.7918,3.3069
143,3.6691,3.7430,3.5116,3.6212,3.1306
144,3.5878,3.6917,3.7492,3.5412,2.9222
145,3.5000,3.8127,3.4721,3.4736,2.7409
146,3.4067,2.9120,3.1685,3.3351,2.5099
147,3.3090,2.7808,3.0365,2.9475,2.3258
148,3.2079,3.4167,3.1403,2.4797,2.1333
149,3.1045,3.2233,2.2133,2.0182,1.9195
