i,y_neg,y_pos
306,-1.8826,1.7024
307,1.2115,0.6397
308,-2.8223,2.3053
309,-1.1050,3.5930
310,-2.0135,0.2352
311,-3.6171,0.6571
312,-2.2117,3.6376
313,-2.1526,4.0569
314,-3.3089,3.6085
315,4.7723,1.8947
316,-1.6723,1.8170
317,-3.9952,4.2419
318,-2.5383,1.2786
319,-1.3559,7.3225
320,-1.0093,-0.2091
321,-5.6486,5.1197
322,-3.1798,7.0289
323,-2.3668,2.4402
324,1.5445,1.4093
325,-1.9240,4.5307
326,-4.3665,4.9930
327,0.7490,1.3429
328,-1.1940,3.1735
329,-0.1827,5.2649
330,0.5404,-0.5874
331,-1.9672,-1.1245
332,-1.5604,0.6610
333,0.6663,5.0411
334,-2.2605,1.1390
335,-2.6865,5.2334
336,-5.0933,7.3974
337,0.0334,-0.0277
338,0.1126,4.8284
339,-3.1445,4.5002
340,-1.7043,1.7522
341,-0.4915,3.1743
342,-0.5722,-0.2689
343,-1.5803,1.4897
344,-3.5933,1.6924
345,-1.7485,1.3520
346,-2.4277,2.9138
347,-3.2678,5.1735
348,0.7464,1.7303
349,2.7215,-0.7834
350,-0.1828,1.8993
351,-0.6447,2.7615
352,-0.7436,-1.6104
353,-3.7566,4.8635
354,-2.9969,6.5143
355,-1.5582,-0.3277
356,-0.5485,3.5771
357,-0.3893,3.7828
358,-2.6471,0.4589
359,-0.8497,3.3290
360,-0.0678,3.5622
361,-0.1582,0.0888
362,-6.8398,5.6841
363,-4.8668,3.8924
364,0.8808,1.6736
365,-1.3691,-0.3409
366,-3.6420,2.6905
367,-2.9585,1.5793
368,-1.3293,2.3504
369,-3.3921,7.4705
370,-1.9461,3.7538
371,-1.3923,2.0364
372,-0.7325,-1.4454
373,-2.3065,0.7559
374,0.6628,4.1666
375,-4.4370,5.4839
376,0.6469,5.0508
377,0.2134,3.3480
378,-0.2828,2.6618
379,-3.8735,3.8378
380,-4.2267,6.6434
381,-1.1993,1.3219
382,-2.5682,2.6791
383,-2.5665,5.5057
384,-4.3868,2.3120
385,-2.2345,3.3579
386,-3.1976,0.5800
387,-1.0671,2.5871
388,-2.0839,1.6900
389,-3.5188,0.9446
390,-1.9045,4.2956
391,-3.1211,6.9511
392,-1.7731,4.0976
393,-5.2221,5.5286
394,-3.2690,4.7342
395,0.3299,3.2896
396,-3.1000,3.5112
397,-2.9927,2.1993
398,-2.4769,4.7315
399,-0.5503,1.5754
